ev,ferfi,no
1949,59.28,63.40
1950,59.88,64.21
1951,60.05,64.66
1952,61.69,66.17
1953,61.87,65.94
1954,63.53,67.29
1955,64.77,68.67
1956,63.55,68.30
1957,63.99,68.42
1958,65.27,69.38
1959,65.01,69.48
1960,65.89,70.10
1961,66.71,71.09
1962,65.60,70.02
1963,66.61,71.20
1964,67.01,71.78
1965,66.71,71.54
1966,67.53,72.23
1967,66.92,72.04
1968,66.69,71.94
1969,66.68,72.00
1970,66.31,72.08
1971,66.11,72.04
1972,66.85,72.57
1973,66.65,72.49
1974,66.52,72.38
1975,66.29,72.42
1976,66.60,72.50
1977,66.67,72.99
1978,66.08,72.74
1979,66.12,73.03
1980,65.45,72.70
1981,65.46,72.86
1982,65.63,73.18
1983,65.08,72.99
1984,65.05,73.16
1985,65.09,73.07
1986,65.30,73.21
1987,65.67,73.74
1988,66.16,74.03
1989,65.44,73.79
1990,65.13,73.71
1991,65.02,73.83
1992,64.55,73.73
1993,64.53,73.81
1994,64.84,74.23
1995,65.25,74.50
1996,66.06,74.70
1997,66.35,75.08
1998,66.14,75.18
1999,66.32,75.13
2000,67.11,75.59
2001,68.15,76.46
2002,68.26,76.56
2003,68.29,76.53
2004,68.59,76.91
2005,68.56,76.93
2006,69.03,77.35
2007,69.19,77.34
2008,69.79,77.76
2009,70.05,77.89
2010,70.50,78.11
2011,70.93,78.23
2012,71.45,78.38
2013,72.01,78.73
2014,72.13,78.91
2015,72.09,78.61
2016,,
